warning_type,tier,tier_weight,file,line,column,message,compile_unit,loc_file
type_conversion,A,3,f_ingy.f,423,15,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_ingy.f,f_ingy.f
type_conversion,A,3,f_ingy.f,430,10,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_ingy.f,f_ingy.f
type_conversion,A,3,f_ingy.f,577,15,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_ingy.f,f_ingy.f
type_conversion,A,3,f_ingy.f,807,23,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_ingy.f,f_ingy.f
type_conversion,A,3,f_ingy.f,812,34,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_ingy.f,f_ingy.f
type_conversion,A,3,f_ingy.f,835,23,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_ingy.f,f_ingy.f
type_conversion,A,3,f_ingy.f,841,33,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_ingy.f,f_ingy.f
type_conversion,A,3,f_other.f,86,19,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,95,23,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,105,19,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,113,23,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,117,23,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,120,23,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,123,23,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,126,23,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,158,12,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,356,10,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,357,10,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,358,10,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,359,10,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,361,14,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
